exec_entity_id,type,json_value,string_value
1148557,sectors,"[""Real Estate, Utilities & Infrastructure""]",
1148557,sub_sectors,"[""Infrastructure""]",
5385150,hq_address,,United Kingdom
5385150,scale,,Small Cap
1323516,hq_address,,United States
1323516,scale,,Very Small Cap
1053950,hq_address,,United States
1053950,industry_tags,"[""Healthcare Software"",""Diagnostic Equipment""]",
1053950,scale,,Very Large Cap
1053950,sectors,"[""Healthcare & Pharmaceuticals"",""Technology & Telecoms""]",
1053950,sub_sectors,"[""Software"",""Devices and Equipment""]",
1394305,scale,,Very Small Cap
1432883,scale,,Small Cap
940606,hq_address,,United Kingdom
940606,scale,,Small Cap
940606,sectors,"[""Technology & Telecoms""]",
940606,sub_sectors,"[""Software""]",
1194553,scale,,Small Cap
5383908,hq_address,,United States
5383908,scale,,Small Cap
1030503,industry_tags,"[""Utilities and Telecoms Software""]",
1030503,scale,,Mid Cap
1030503,sectors,"[""Technology & Telecoms""]",
1030503,sub_sectors,"[""Software""]",
1240953,hq_address,,United States
1240953,scale,,Small Cap
1292403,industry_tags,"[""Energy Providers""]",
1292403,scale,,Very Large Cap
1292403,sectors,"[""Real Estate, Utilities & Infrastructure""]",
1292403,sub_sectors,"[""Utilities""]",
1183620,hq_address,,
1183620,industry_tags,"[""Hygiene and Personal Care""]",
1183620,scale,,Very Large Cap
1183620,sectors,"[""Consumer, Retail & Leisure""]",
1183620,sub_sectors,"[""FMCG""]",
1357753,hq_address,,United States
1357753,industry_tags,"[""ERP, HCM, Accounting, and Tax Software"",""Public Sector and Education Software""]",
1357753,scale,,Very Large Cap
1357753,sectors,"[""Technology & Telecoms""]",
1357753,sub_sectors,"[""Software""]",
1066567,hq_address,,United States
1066567,industry_tags,"[""Testing and Regulatory Compliance""]",
1066567,scale,,Mid Cap
1066567,sectors,"[""Business Services""]",
1066567,sub_sectors,"[""TIC & Compliance""]",
1432237,hq_address,,Switzerland
1432237,scale,,Large Cap
1102815,hq_address,,United States
1102815,scale,,TBC
5385570,scale,,TBC
1290564,hq_address,,United Kingdom
1290564,industry_tags,"[""Utilities and Telecoms Software""]",
1290564,scale,,Mid Cap
1290564,sectors,"[""Technology & Telecoms""]",
1290564,sub_sectors,"[""Software""]",
1448445,hq_address,,Switzerland
1448445,scale,,TBC
1207578,industry_tags,"[""Cybersecurity Software"",""Consumer \/ Prosumer Software""]",
1207578,scale,,Very Large Cap
1207578,sectors,"[""Technology & Telecoms""]",
1207578,sub_sectors,"[""Software""]",
5383070,hq_address,,United Kingdom
5383070,industry_tags,"[""Utilities and Telecoms Software""]",
5383070,scale,,Mid Cap
5383070,sectors,"[""Technology & Telecoms""]",
5383070,sub_sectors,"[""Software""]",
1065167,hq_address,,United States
1065167,hq_address,,United States
1065167,industry_tags,"[""Regtech, GRC, and EHS Software""]",
1065167,scale,,Mid Cap
1065167,sectors,"[""Technology & Telecoms""]",
1065167,sub_sectors,"[""Software""]",
1080668,hq_address,,Switzerland
1080668,hq_address,,Switzerland
1080668,industry_tags,"[""Cybersecurity Software"",""Database, Data Management, and Analytics Software"",""Tech & IT Infrastructure Software""]",
1080668,scale,,Large Cap
1080668,sectors,"[""Technology & Telecoms""]",
1080668,sub_sectors,"[""Software""]",
1375695,hq_address,,United States
1375695,industry_tags,"[""Cybersecurity Software""]",
1375695,scale,,Very Large Cap
1375695,sectors,"[""Technology & Telecoms""]",
1375695,sub_sectors,"[""Software""]",
1231835,hq_address,,United States
1231835,industry_tags,"[""Business Productivity Software""]",
1231835,scale,,Mid Cap
1231835,sectors,"[""Technology & Telecoms""]",
1231835,sub_sectors,"[""Software""]",
5385590,hq_address,,United Kingdom
5385590,industry_tags,"[""Insurance Services"",""Property and Casualty Insurance""]",
5385590,scale,,Large Cap
5385590,sectors,"[""Financial Services""]",
5385590,sub_sectors,"[""Insurance""]",
1026603,hq_address,,United States
1026603,industry_tags,"[""Marketing and Content Management Software"",""Legal and Professional Services Software"",""Healthcare Software"",""Enterprise Automation Software"",""Managed Services"",""Database, Data Management, and Analytics Software"",""Business Productivity Software"",""Consulting""]",
1026603,scale,,Large Cap
1026603,sectors,"[""Technology & Telecoms"",""Business Services""]",
1026603,sub_sectors,"[""Software"",""IT Services"",""Professional Services and BPO""]",
1469147,hq_address,,United States
1469147,hq_address,,United States
1469147,industry_tags,"[""Financial Services Software""]",
1469147,scale,,Large Cap
1469147,sectors,"[""Technology & Telecoms""]",
1469147,sub_sectors,"[""Software""]",
1201885,hq_address,,Germany
1201885,industry_tags,"[""Healthcare Software"",""Diagnostic Equipment"",""Systems Integrators""]",
1201885,scale,,Very Large Cap
1201885,sectors,"[""Healthcare & Pharmaceuticals"",""Technology & Telecoms""]",
1201885,sub_sectors,"[""IT Services"",""Devices and Equipment"",""Software""]",
1232222,hq_address,,United States
1232222,industry_tags,"[""Cybersecurity Software""]",
1232222,scale,,Large Cap
1232222,sectors,"[""Technology & Telecoms""]",
1232222,sub_sectors,"[""Software""]",
1324138,scale,,Small Cap
1393837,hq_address,,United Kingdom
1393837,scale,,TBC
1297812,scale,,TBC
1192645,hq_address,,United States
1192645,industry_tags,"[""Property and Casualty Insurance"",""Insurance Distribution""]",
1192645,scale,,Very Large Cap
1192645,sectors,"[""Financial Services""]",
1192645,sub_sectors,"[""Insurance""]",
1469145,hq_address,,United States
1469145,hq_address,,United States
1469145,industry_tags,"[""Financial Services Software""]",
1469145,scale,,Large Cap
1469145,sectors,"[""Technology & Telecoms""]",
1469145,sub_sectors,"[""Software""]",
1079335,scale,,Mid Cap
1470503,scale,,Large Cap
1430985,scale,,Small Cap
1470485,hq_address,,United States
1470485,hq_address,,United States
1470485,industry_tags,"[""Financial Services Software""]",
1470485,scale,,Large Cap
1470485,sectors,"[""Technology & Telecoms""]",
1176613,hq_address,,United States
1176613,industry_tags,"[""Financial Services Software"",""Payments""]",
1176613,scale,,Large Cap
1176613,sectors,"[""Financial Services"",""Technology & Telecoms""]",
1176613,sub_sectors,"[""Banking"",""Software""]",
1206079,hq_address,,
1206079,scale,,Large Cap
1206079,sectors,"[""Healthcare & Pharmaceuticals""]",
1352756,hq_address,,United States
1352756,scale,,Very Large Cap
1303218,hq_address,,United States
1303218,industry_tags,"[""Consumer Marketplaces""]",
1303218,scale,,Large Cap
