assignment_id,exec_entity_id,outcome
7169,1280654,0
7169,1467527,0
7169,1284480,0
7169,1467805,0
7169,1467979,1
7169,1392773,0
7169,1467943,0
7169,1279285,0
7169,1467577,0
7169,1282611,0
7169,3787526,0
7169,1282676,0
7169,1467575,0
7169,1266864,0
7169,1469933,0
7169,1467529,0
7169,1282053,0
7169,1483341,0
7169,1483339,0
7169,1470297,1
7169,1483335,0
7169,1470295,0
7169,1471843,0
7169,3789723,0
7169,1466073,0
7169,3788839,0
7169,1467871,0
7169,1467493,0
7169,1471837,0
7169,1467865,0
7169,3790092,0
7169,1279289,0
7169,1483345,0
7169,1473915,1
7169,1356445,0
7169,1467523,0
7169,1467531,0
7169,1380305,0
7169,1403541,0
7169,1467511,0
7169,1202315,0
7169,1431663,0
7169,1432431,0
7169,1483337,0
7169,1467553,0
7169,1467557,0
7169,1467819,0
7169,1467929,0
7169,1190551,0
7169,1467447,0
7169,1467821,0
7169,1195213,0
7169,1467861,0
7169,1282647,0
7169,1471785,0
7169,1467843,0
7169,1035685,0
7169,1331228,0
7169,1474145,0
7169,1467939,0
7169,3789668,0
7169,1467977,0
7169,3788476,0
7169,3792350,0
7169,1470289,0
7169,1474225,0
7169,1474147,0
7169,3789246,0
7169,1470301,0
7169,3787329,0
7169,3787357,0
7169,1279281,1
7169,3789819,0
7169,1471847,0
7169,1467573,0
7169,1467501,0
7169,1467833,0
7169,1466731,0
7169,1467507,0
7169,1467827,0
7169,1466849,0
7169,1467555,0
6969,1421907,0
6969,1438277,0
6969,1425015,0
6969,1437003,0
6969,1421825,0
6969,1421603,0
6969,1421955,0
6969,946068,0
6969,1424837,0
6969,1437041,0
6969,1441323,0
6969,1421887,0
6969,3788260,0
6969,1421919,0
6969,1421959,0
6969,1347456,0
6969,1421829,0
6969,1448439,0
6969,1421957,0
6969,1421897,0
6969,1421927,0
6969,1422029,0
6969,1372851,0
6969,5385732,0
6969,1438041,0
6969,1236858,0
6969,1436955,0
6969,1436949,0
6969,1285592,0
6969,1437141,0
6969,1437075,0
6969,1060441,0
6969,1437135,0
6969,1038637,0
6969,1437361,0
6969,1264454,0
6969,1437219,0
6969,1437353,0
6969,1438245,0
6969,1462071,0
6969,1206277,0
6969,1438045,0
6969,1399729,0
6969,1436957,0
6969,1330850,0
6969,1438267,0
6969,1437003,0
6969,1306887,0
6969,1040331,0
6969,1439585,0
6969,946974,0
6969,1242498,0
6969,1439587,0
6969,1436819,0
6969,1439363,0
6969,1436981,0
6969,1437143,0
6969,1037154,0
6969,1131702,0
6969,1439577,0
6969,1175661,0
6969,1053686,0
6969,1437017,0
6969,1165769,0
6969,1039667,0
6969,1441393,0
6969,1440973,0
6969,1311983,0
6969,1314752,0
6969,1441391,0
6969,1413345,0
6969,1444887,0
6969,1443665,0
6969,1443671,0
6969,1267400,0
6969,945818,0
6969,1443855,0
6969,1443767,0
6969,1443663,0
6969,1443851,0
6969,947204,0
6969,1438251,0
6969,1443847,0
6969,970789,0
6969,1439365,0
6969,1439623,0
6969,1449161,0
6969,1437351,0
6969,1448419,0
6969,1436973,0
6969,947420,0
6969,1436939,0
6969,1437009,0
6969,1439359,0
6969,1037367,0
6969,1437061,0
6969,1437079,0
6969,1439627,0
6969,1262142,0
6969,1437071,0
6969,1436835,0
6969,1242358,0
6969,1441279,0
6969,1428853,0
6969,1437031,0
6969,1436947,0
6969,1436985,0
6969,1180396,0
6969,1444867,0
6969,1438277,0
6969,1437065,0
6969,1443465,0
6969,1443673,0
6969,1436995,0
6969,1232923,0
6969,1448453,0
6969,1437415,0
6969,1437015,0
6969,1437147,0
6969,1438175,0
6969,1437359,0
6969,1438009,0
6969,1438043,0
6969,947972,0
6969,1256530,0
6969,947910,0
6969,1439271,0
6969,1438269,0
6969,1114865,0
6969,1438147,0
6969,1437023,0
6969,1437057,0
6969,1448397,0
6969,1038076,0
6969,1437363,0
6969,1256550,0
6969,1443857,0
6969,1437169,0
6969,1144792,0
6969,1437401,0
6969,1444885,0
6969,1441361,0
6969,1439591,0
6969,1439589,0
6969,1134318,0
6969,1439573,0
6969,1438261,0
6969,1438011,0
6969,1438153,0
6969,3786930,0
6969,947338,0
6969,1438255,0
6969,1297338,0
6969,1439361,0
6969,1421795,0
6969,1421799,0
6969,1421819,0
6969,1421833,0
6969,1421835,0
6969,1242388,0
6969,1421841,0
6969,1421859,0
6969,1421863,0
6969,1421871,0
6969,1421891,0
6969,1421901,0
6969,1421907,0
6969,1421915,0
6969,1421925,0
6969,1421931,0
6969,1421951,0
6969,1423073,0
6969,1423079,0
6969,1423081,0
6969,1439275,0
6969,1424753,0
6969,1424829,0
6969,1424827,0
6969,1424831,0
6969,1441387,0
6969,1425015,0
6969,1439593,0
6969,1441395,0
6969,1443669,0
6969,1441385,0
